 
 
 *exit standby-mode! 
task_idle highWater:12
*enter task_motor!
*enter task_dyn_reg!
adc_temp:2057, vref:1254 mV
pwm output enable!
bat:3898mV, curr:1490mA, ntc:7726R,  RMP:11826, duty:889, vbemf:548, bat_level:95, rpm_step:0, duty=889 
bat:3900mV, curr:1450mA, ntc:7721R,  RMP:11811, duty:862, vbemf:597, bat_level:95, rpm_step:0, duty=862 
bat:3902mV, curr:1390mA, ntc:7726R,  RMP:11811, duty:862, vbemf:550, bat_level:95, rpm_step:0, duty=862 
bat:3902mV, curr:1390mA, ntc:7715R,  RMP:11811, duty:864, vbemf:498, bat_level:95, rpm_step:0, duty=864 
bat:3900mV, curr:1450mA, ntc:7710R,  RMP:11811, duty:881, vbemf:478, bat_level:95, rpm_step:0, duty=881 
bat:3898mV, curr:1530mA, ntc:7694R,  RMP:11811, duty:897, vbemf:526, bat_level:95, rpm_step:0, duty=897 
bat:3896mV, curr:1570mA, ntc:7689R,  RMP:11811, duty:914, vbemf:490, bat_level:95, rpm_step:0, duty=914 
bat:3894mV, curr:1610mA, ntc:7684R,  RMP:11811, duty:916, vbemf:543, bat_level:95, rpm_step:0, duty=916 
bat:3894mV, curr:1610mA, ntc:7684R,  RMP:11811, duty:919, vbemf:532, bat_level:95, rpm_step:0, duty=919 
bat:3890mV, curr:1670mA, ntc:7673R,  RMP:11811, duty:934, vbemf:498, bat_level:95, rpm_step:0, duty=934 
bat:3890mV, curr:1690mA, ntc:7673R,  RMP:11811, duty:938, vbemf:508, bat_level:95, rpm_step:0, duty=938 
bat:3886mV, curr:1770mA, ntc:7663R,  RMP:11811, duty:950, vbemf:472, bat_level:95, rpm_step:0, duty=951 
bat:3886mV, curr:1770mA, ntc:7663R,  RMP:11811, duty:950, vbemf:468, bat_level:95, rpm_step:0, duty=951 
bat:3884mV, curr:1790mA, ntc:7647R,  RMP:11961, duty:950, vbemf:412, bat_level:95, rpm_step:0, duty=951 
bat:3884mV, curr:1790mA, ntc:7636R,  RMP:11901, duty:950, vbemf:480, bat_level:95, rpm_step:0, duty=951 
bat:3884mV, curr:1790mA, ntc:7636R,  RMP:11871, duty:950, vbemf:416, bat_level:95, rpm_step:0, duty=951 
